PERFIL,PROFUNDIDAD_cm,COD_LAB,ARENA_porc,LIMO_porc,ARCILLA_porc,TEXTURA_clase,GRAVILLA_porc,RELACION,pH,Al_meq,SAI_porc,CaCO3,CO_porc,N_total,CIC,Ca,Mg,K,Na,BT,SB_porc,RETENCION_P_porc,INDICE_MELANICO,Fe_ACTIVO_porc,Al_ACTIVO_porc,Mn_ppm,Fe_ppm,Zn_ppm,Cu_ppm,B_ppm,S_ppm,P_DISPONIBLE_ppm,GRAVA_porc,ARENA_perc_2,LIMO_perc_2,ARCILLA_perc_2,TEXTURA_clase_2,pF_0,pF_33,pF_100,pF_500,pF_1500,HUMEDAD_perc,DENS_real_gcm3,DENS_ap_gcm3,MACROPORO_perc,MICROPORO_perc,POROSIDAD_TOT_perc
QS-19,72-113,4-05377,57,39.9,3.1,FA*,5.2,(1:1),5.7,,,,1.9,,34.3,1.2,0.04,0.08,0.16,1.5,4.3,,,,,0.02,21.6,0.04,0.3,0.02,4.7,14,0,61.5,20.73,17.77,FA,121.85,103.31,95.87,94.65,63.76,39.55,2.25,0.65,10.82,60.29,71.11
QS-19,113-130,4-05378,67.4,29.4,3.2,FA*,3.5,(1:1),5.8,,,,1.6,,40.8,2.9,0.04,0.08,0.27,3.3,8.1,,,,,0.02,14.5,0.02,0.22,0.32,2.3,9.1, ,,,,,,,,,,,,,,,
QS-20,0-20,4-05379,56.7,36.1,7.2,FA*,7.1,(1:1),5.1,1.2,34,,4.5,,31.3,1.8,0.12,0.16,0.25,2.3,7.4,,,,,0.02,28.6,0.06,0.42,0.08,0.9,13.3,0,61.37,30.48,8.15,FA,98.3,57.12,45.77,43.99,35.57,21.55,2.4,0.78,28.28,39.22,67.5
QS-20,20-62,4-05380,63,31.9,5.1,FA*,7,(1:1),5.2,0.54,25.2,,2.9,,27.7,1.2,0.06,0.11,0.23,1.6,5.8,,,,,0.02,25.1,0.04,0.32,0.04,3.7,14.7,0,60.79,32.68,6.53,FA,99.09,65.71,60.54,51.18,42.06,23.65,2.38,0.82,22.08,43.47,65.55
QS-20,62-90,4-05381,63.2,33.8,3,FA*,3.6,(1:1),5.5,0.15,9.3,,1.3,,20.5,1.1,0.07,0.08,0.22,1.5,7.2,,,,,0.05,26,0.02,0.22,0.04,4.6,9.6, ,,,,, ,,,,,,,,,,
QS-20,90-120,4-05382,65.4,27.4,7.2,FA*,2.1,(1:1),5.3,1.7,23.4,,0.35,,24.4,4.3,0.76,0.18,0.32,5.6,22.8,,,,,0.04,17.3,0.04,0.24,0.06,2.3,10.8,,,,,, ,,,,,,,,,,
QS-21,0-27,4-05390,54.7,39.8,5.5,FA*,4.5,(1:1),5,0.94,35.7,,4.9,,18.1,1.2,0.09,0.2,0.2,1.7,9.3,92.93,,0.79,1.8,1.2,39.1,0.02,1.5,0.25,8,ND,0,56.17,38.88,4.95,FA,124.78,75.06,68.21,48.84,40.71,34.35,2.44,0.79,26.95,40.68,67.62
QS-21,27-58,4-05391,63,33.6,3.4,FA*,4.8,(1:1),5.4,0.39,20.9,,2.9,,23.8,1.1,0.05,0.1,0.23,1.5,6.2,95.17,,0.78,1.81,0.02,43.8,0.04,1.1,0.13,1.7,ND,0,61.04,33.34,5.62,FA,115.53,76.85,69.42,52.74,40.1,36.75,2.42,0.79,22.55,44.8,67.36
QS-21,58-105,4-05392,61.4,35.2,3.4,FA*,4.9,(1:1),5.6,, ,,1.5,,18.5,1.2,0.03,0.08,0.21,1.5,8.2,95.59,,0.69,1.87,0.02,27.3,0.04,0.34,0.04,3.1,ND,0,75.78,23.81,0.41,AF,97.67,68.47,62.51,51.35,39.61,28.86,2.41,0.83,19.6,45.96,65.56
QS-21,105-120,4-05393,57.2,39.3,3.5,FA*,4.2,(1:1),5.8,, ,,2,,31.5,2.7,0.03,0.07,0.23,3,9.6,,,,,0.02,21.7,0.04,0.3,0.04,2.1,ND,0,,,,,,,,,,,2.3,0.64,,,72.17
QS-22,0-50,4-05394,67.5,27.1,5.4,FA*,5.1,(1:1),5.7,, ,,3.2,,22.7,3.3,0.47,0.36,0.22,4.4,19.2,,,,,0.06,33,0.02,0.52,0.1,4.9,13.8,0,60.88,36.72,2.4,FA,86.32,55.23,50.21,39.9,33.17,22.06,2.46,0.93,22.4,39.79,62.2
QS-22,50-65,4-05395,74.3,22.4,3.3,AF*,3,(1:1),5.8,, ,,1.8,,14.4,2.6,0.23,0.31,0.11,3.3,22.6,,,,,0.04,25.1,0.02,0.58,0.06,14.7,13.3,0,76.81,22.29,0.9,AF,76.85,45.57,39.05,32.72,27.01,18.56,2.42,0.97,24.39,35.53,59.92
QS-22,65-90,4-05396,74.3,22.8,2.9,AF*,2.5,(1:1),5.7,, ,,1,,15.5,2.5,0.19,0.27,0.16,3.1,20.1,,,,,0.04,21.1,0.02,0.64,0.04,2.3,12,0,72.74,26.92,0.34,AF,73.41,44.04,39.69,31.04,24.14,19.9,2.75,1.1,24,36,60
QS-22,90-105,4-05397,78.7,18.4,2.9,AF*,3.4,(1:1),5.8,,,,0.57,,11.9,2.3,0.19,0.25,0.21,3,24.8,,,,,0.02,16.4,0.04,0.38,0.08,2.4,14.4,0,77.17,22.15,0.68,AF,61.7,32.89,28.96,22.59,17.84,15.05,2.53,1.08,26.76,30.55,57.31
QS-22,105-120x,4-05398,72.8,20.3,6.9,FA*,3,(1:1),5.8,,,,0.27,,7.3,8.6,0.09,0.25,0.1,9,SAT,,,,,0.02,15.8,0.08,0.34,0.22,10.9,10.5, ,,,,,,,,,,,,,,,
QS-23,0-31,4-05605,57.4,20.4,22.2,FArA,,(1:1),5.5,0.12,1.9,,1.2,,13.7,4.5,1.2,0.25,0.18,6.1,44.7,39.2,,,,9.1,78.3,1.1,0.63,0.14,1.3,3.9,0,46.04,25.11,28.85,FArA,41.92,29.44,24.15,21.3,19.77,9.67,2.46,1.33,13.68,32.26,45.93
QS-23,31-70,4-05606,62.2,27.4,10.4,FA,,(1:1),6.3,,,,0.57,,29.3,10.6,2.4,0.37,0.23,13.6,46.4,77.98,,,,0.74,26.5,1.5,0.23,0.18,6,12.4,0,50.05,32.57,17.38,F,86.79,56.03,50.83,48.75,43.32,12.71,2.23,0.91,20.98,38.21,59.19
QS-23,70-135,4-05607,57.8,33.9,8.3,FA,,(1:1),6,,,,0.16,,27.8,6.3,2,0.14,0.16,8.6,30.9,,,,,0.25,38.2,0.47,0.06,0.14,2.5,3.7,0,56.52,36.74,6.74,FA,94.86,70.79,53.66,49.52,45.95,24.84,2.2,0.76,16.61,48.85,65.45
QS-24,0-46,4-05608,60.7,33.3,6,FA,,(1:1),5.5,0.55,23.7,,3.5,,24.9,1.3,0.24,0.08,0.15,1.8,7.1,89.82,,,,1.9,73.7,0.33,0.83,0.16,8.6,1.3,0,52.01,37.85,10.14,FA,94.45,64.19,47.06,44.66,42.58,21.61,2.24,0.74,21.45,45.51,66.96
QS-24,46-54,4-05609,62.8,31.2,6,FA,,(1:1),5.4,0.25,14.9,,2.1,,22.4,0.98,0.17,0.07,0.21,1.4,6.4,91.4,,,,1.2,43.2,0.25,0.67,0.18,13.4,2.2,0,59,35.98,5.02,FA,86.63,59.87,44.19,40.86,34.94,24.93,2.38,0.98,18.17,40.65,58.82
QS-24,54-82,4-05610,69.1,27,3.9,FA,,(1:1),5.5,0.09,6.8,,0.98,,17.7,0.91,0.15,0.06,0.12,1.2,7,91.25,,,,0.93,21.2,0.89,0.44,0.22,13.8,1.1,0,68.98,28.48,2.54,FA,84.94,57.95,39.87,38.51,30.97,26.98,2.45,1.08,17.77,38.15,55.92
QS-24,82-125,4-05611,55.7,38.1,6.2,FA,,(1:1),5.8,,,,1.6,,38.1,0.3,0.13,0.06,0.15,0.64,1.7,,,,,2.6,24.3,0.22,0.38,0.18,5.1,1.1,0,34.9,62.01,3.09,FL,106.7,90.89,76.74,71.96,63.9,26.99,2.23,0.81,9.44,54.24,63.68
QS-25,0-42,4-05612,48.8,46.2,5,FA*,,(1:1),5.3,0.44,32.4,,3.5,,27.7,0.67,0.07,0.07,0.11,0.92,3.3,91.19,,,,21.8,40,0.88,1.8,0.11,4.1,1.8,0,45.11,48.63,6.26,FA,87.93,62.8,49.43,45.8,40.69,22.11,2.3,1.04,15.66,39.13,54.78
QS-25,42-52,4-05613,61.6,35.5,2.9,FA,,(1:1),5.3,0.21,28,,2.2,,22.8,0.37,0.04,0.07,0.06,0.54,2.4,90.46,,,,2.2,5.2,0.17,0.1,0.09,13.1,8.3,0,58.81,39.22,1.97,FA,115.88,46.36,42.92,33.94,26.14,20.22,2.36,0.95,35.84,23.9,59.75
QS-25,52-90,4-05614,65.7,31.4,2.9,FA,,(1:1),5.2,0.07,12.5,,1.4,,20,0.3,0.03,0.08,0.08,0.49,2.5,,,,,8,3.2,0.36,0.06,0.01,10,2.4,0,70.65,28.47,0.88,FA,89.13,44.15,39.27,31.16,25.31,18.84,2.39,1.02,28.93,28.39,57.32
QS-25,90-125,4-05615,62.6,34.4,3,FA,,(1:1),5.2,0.07,11.5,,1.2,,23.9,0.34,0.03,0.09,0.08,0.54,2.3,,,,,7.4,3.5,0.15,0.11,0.01,8.4,4.1,0,65.3,33.97,0.73,FA,110.3,72.36,66.01,58.04,49.13,23.23,2.22,0.84,21.38,40.78,62.16
QS-26,0-22,4-05616,61.2,33.7,5.1,FA*,,(1:2),5.6,0.51,8.9,,6.6, ,34.1,3,1.3,0.85,0.09,5.2,15.4,92.43,1.077,0.64,1.74,51.8,52.6,0.61,4.1,0.37,8.5,6.5,0,35.8,40.77,23.43,F,134.26,65.9,64.71,46.47,38.15,27.75,2.13,0.8,31.79,30.65,62.44
QS-26,22-54,4-05617,53.4,39.5,7.1,FA*,,(1:1),5.5,0.41,17.7,,2.7,,24.2,0.93,0.36,0.51,0.1,1.9,7.9,90.56,,0.68,1.73,29.7,28.8,0.31,2.8,0.14,21.5,3.5,0,47.99,47.91,4.1,FA,103.28,50.89,48.56,34.96,27.18,23.71,2.26,0.81,32.55,31.61,64.16
QS-26,54-88,4-05618,64.2,30.9,4.9,FA,,(1:1),5.3,0.27,16.6,,2.1,,18.1,0.7,0.25,0.36,0.05,1.4,7.5,,,,,86.6,114,1.4,6.6,0.07,40.3,5.3,0,59.09,36.3,4.61,FA,100.2,40.75,39.51,27.44,23.33,17.42,2.4,1.11,31.89,21.86,53.75
QS-26,88-125,4-05619,74.6,22.5,2.9,AF,,(1:1),5.4,0.07,7.5,,0.91,,13,0.42,0.17,0.18,0.09,0.86,6.6,,,,,68.7,47.8,0.62,3.7,ND,38.5,13,0,70.57,27.72,1.71,FA,89.53,34.2,31,22.64,18.93,15.27,2.58,1.09,35.69,22.06,57.75
QS-27,0-38,4-05620,64.2,30.9,4.9,FA,,(1:1),4.9,0.96,56.5,,2.1,,18,0.5,0.04,0.16,0.04,0.74,4.1,,,,,34.5,26.4,0.35,2.5,0.09,14.9,8.4,0,61.72,24.84,13.44,FA,80.72,32.49,29.61,22.64,17.81,14.68,2.46,1.28,28.66,19.31,47.97
QS-27,38-61,4-05621,72.7,20.4,6.9,FA,,(1:1),5.1,0.44,30.3,,0.51,,11.3,0.61,0.17,0.11,0.12,1,8.9,,,,,17.9,99.7,0.59,0.78,0.13,22.7,16.7,0,72.26,20.76,6.98,FA,82.18,20.19,18.26,13.32,11.35,8.84,2.54,1.26,38.01,12.38,50.39
QS-27,61-83,4-05622,72.6,18.4,9,FA,,(1:1),5.7,,,,0.32,,10.9,1.9,0.34,0.14,0.09,2.5,22.7,,,,,30.6,88.4,0.49,0.9,0.13,7.1,28.6,0,74.93,15.33,9.74,FA,79.56,18.28,15.75,11.57,10.26,8.02,2.56,1.12,43.33,12.92,56.25
QS-27,83-125X,4-05623,67.9,22.9,9.2,FA,,(1:1),5.8,,,,0.48,,18.7,3.9,0.51,0.16,0.1,4.7,25,,,,,34.9,72.4,0.35,0.46,0.24,5,6.2,0,47.28,31.48,21.24,F,135.26,48.6,45.14,40.35,34.56,14.04,2.31,0.94,38,21.31,59.31
QS-28,0-15,4+08849,,,,,,(1:2),4.4,6.2,85.9,,8.5,,36,0.45,0.18,0.18,0.21,1,2.8,,,,,0.6,154,0.92,0.26,2,7.6,7.1,0,32.48,62.44,5.08,FL,284.91,159.57,126.43,117.66,115.94,43.63,2.13,0.59,31.81,40.49,72.3
QS-28,15-35,4+08850,59.8,34.6,5.6,FA,,(1:2),4.5,6.4,85.6,,9,,35.8,0.44,0.13,0.19,0.32,1.1,3,41.58,1.687,0.32,1.7,,,,,,,417,0,49.08,45.66,5.26,FA,271.66,184.15,113.32,83.82,82.91,101.24,1.83,0.46,24.12,50.75,74.86
QS-28,35-45,4+08851,73.6,20.9,5.5,FA,,(1:1),4.6,6.5,90.7,,5.6,,33.6,0.3,0.05,0.08,0.24,0.67,2,61.75,1.964,0.09,1.53,,,,,,,29.8,0,72.5,22.33,5.17,FA,97.53,70.83,65.64,40.98,39.35,31.48,2.55,0.98,16.86,44.71,61.57
QS-28,45-65,4+08852,76.4,18.3,5.3,AF,,(1:1),5.3,0.81,64.8,,1.3,,10.2,0.17,0.02,0.06,0.19,0.44,4.3,39.25,,0.58,1.6,,,,,,,54,0,75.96,21.78,2.26,AF,73.68,34.13,29.93,16.33,14.4,19.73,2.52,0.97,38.61,22.89,61.51
QS-28,65-105,4+08853,90.5,6.2,3.3,A,,(1:1),5.3,0.92,67.6,,1.1,,14.4,0.2,0.04,0.06,0.14,0.44,3.1,,,,,,,,,,,47.9,0,86.28,9.86,3.86,AF,61.29,35.01,32.59,20.67,15.31,19.7,,,,,
QS-28,105-120,4+08854,78.2,16.5,5.3,AF,,(1:1),5.3,0.67,57.3,,1.7,,13.8,0.2,0.03,0.11,0.16,0.5,3.6,,,,,,,,,,,10.2,0,74.07,24.07,1.86,AF,81.16,51.65,46.78,32.48,28.69,22.96,,,,,
QS-29,0-45,4-08830,47.4,36.6,16,F*,,(1:1),5.9,,,,5.4,,23.9,8.3,2.1,0.41,0.12,10.9,45.7,,,0.57,1.51,2,187,4.4,1.6,0.46,3.2,11.3,0,54.63,34.91,10.46,FA,98.11,54.87,46.34,34.99,22.54,32.33,2.39,0.88,26.96,36.22,63.18
QS-29,45-65,4-08831,52.3,30.6,17.1,FA,,(1:1),6,,,,2.1,,14.3,2.9,0.73,0.62,0.07,4.3,30.2,,,,,,,,,,,4,0,61.92,32.1,5.98,FA,60.63,37.76,30.27,23.28,22.76,15,2.49,1.08,21.36,35.27,56.63
QS-29,65-80,4-08832,61.2,24,14.8,FA,,(1:1),6.2,,,,1.4,,11.8,2.1,0.65,0.72,0.08,3.6,30.1,,,,,,,,,,,17.9,0,71.36,22.79,5.85,FA,50.46,30.27,22.52,16.84,16.52,13.75,,,,,
QS-29,80-100,4-08833,65.5,19.8,14.7,FA,,(1:1),6.3,,,,1.3,,12,1.7,0.49,0.73,0.08,3,25,,,,,,,,,,,13.6,0,73.67,22.57,3.76,FA,53.77,34.86,25.68,18.85,17.93,16.93,,,,,
QS-29,100-120,4-08834,57.3,26,16.7,FA,,(1:1),6.3,,,,0.83,,10.8,1.3,0.32,0.86,0.08,2.6,23.7,,,,,,,,,,,7.4,0,64.82,32.52,2.66,FA,58.04,35.44,29.4,22.99,21.61,13.83,,,,,
QS-30,0-25,4-08835,50.8,32,17.2,F*,,(1:2),5.3,0.36,4.7,,5.6,,23.4,4.7,1.7,0.75,0.14,7.3,31.2,,,0.5,1.37,9.6,217,6.7,5.8,0.67,4.9,20.9,0,49.15,34.57,16.28,F,94.79,69.5,41.16,32.02,31.37,38.13,2.4,0.75,18.34,50.41,68.75
QS-30,25-40,4-08836,43.3,36.3,20.4,F,19.7,(1:1),5.7,,,,2,,14.5,2.4,0.6,0.53,0.09,3.6,25,,,,,,,,,,,6.9,0,52.23,33.76,14.01,FA,57.34,32.91,25.85,19.06,18.28,14.63,,,,,
QS-30,40-55,4-08837,52.9,23.6,23.5,FArA,18.5,(1:1),5.8,,,,1.2,,15.9,2.4,0.42,0.93,0.13,3.9,24.4,,,,,,,,,,,11.7,0,58.36,28.43,13.21,FA,61.61,31.73,25.42,20.78,18.72,13.01,2.59,1.22,25.65,27.24,52.9
QS-30,55-110,4-08838,54.7,17.6,27.7,FArA,,(1:1),6,,,,0.35,,13.4,2.7,0.16,1.3,0.12,4.3,31.9,,,,,,,,,,,23.1,0,62.68,21.55,15.77,FA,57.07,33.73,28.28,23.44,22.56,11.17,2.64,1.21,22.15,32.01,54.17
QS-30,110-125,4-08839,57,20,23,FArA,,(1:1),6.2,,,,0.24,,11.9,3.5,0.39,0.16,0.17,4.2,35.5,,,,,,,,,,,23.4,0,64.42,25.97,9.61,FA,62.32,32.91,27.64,21,20.53,12.38,,,,,
QS-31,0-35,4-05383,41.4,26.9,31.7,FAr,4.3,(1:1),5.8,,,,1.7,,15.4,6.7,3.9,0.19,0.26,11.1,71.8,,,,,0.04,54.4,0.14,0.42,0.12,1.4,9.3,0,35.02,27.92,37.06,FAr,38.98,28.81,24.75,22.61,20.34,8.47,2.55,1.23,13.51,38.26,51.76
QS-31,35-65,4-05384,32.3,29.4,38.3,FAr,3.4,(1:1),5.8,,,,1.2,,21.7,5.7,4,0.2,0.33,10.2,47.1,,,,,0.02,26,0.04,0.44,0.1,1.4,7.9,0,20.95,62.2,16.85,FL,40.5,34.65,29.63,26.18,24.39,10.26,2.43,1,8.5,50.35,58.85
QS-31,65-145X,4-05385,27.3,21.1,51.6,Ar,3.2,(1:1),5.3,2,21.8,,0.43,,32.7,2.8,3.9,0.27,0.19,7.2,21.9,,,,,0.02,4.9,0.03,0.32,0.08,2.7,8.5, ,,,,,,,,,,,,,,,
QS-32,0-30,4-05386,56.3,26.1,17.6,FA,3.2,(1:1),5.2,1.2,26,,1.6,,13.4,2.3,0.54,0.42,0.16,3.4,25.5,,,,,1.8,106,0.78,0.7,0.24,1.4,8.1,0,54.91,28.29,16.8,FA,43.83,38.98,28.36,21.35,15.32,23.66,2.57,1.08,6.42,51.56,57.98
QS-32,30-50,4-05387,56,24.4,19.6,FA,3,(1:1),4.7,2,41.2,,0.9,,12.6,1.9,0.3,0.41,0.24,2.9,22.6,,,,,1.2,160,0.16,1.5,0.16,3.2,8.6,0,57.6,24.3,18.1,FA,41.39,28.92,25.27,18.28,14.85,14.07,2.56,1.31,14.71,34.12,48.83
QS-32,50-82,4-05388,66,18.4,15.6,FA,3.4,(1:1),5.1,1.8,32.7,,0.39,,13.7,2.5,0.45,0.39,0.36,3.7,27,,,,,2.3,73.2,0.04,0.94,0.16,9.2,11.8,0,66.54,13.84,19.62,FA,48.33,40.17,28.43,19.87,17.53,22.64,2.56,0.86,11.21,55.19,66.41
QS-32,82-120,4-05389,47.9,25.5,26.6,FArA,2,(1:1),5.4,0.63,9,,0.41,,21.4,4.3,0.89,0.94,0.24,6.4,29.8,,,,,1.3,37.6,0.02,0.58,0.11,8.8,13.7,,,,,,,,,,,,,,,,
QS-33,0-12,4-05627,25.7,55.2,19.1,FL,,(1:1),5.2,0.53,11.8,,2.1,,16.6,2.6,1.1,0.18,0.1,4,24,,,,,18.5,73.5,0.59,0.24,0.25,4.8,22.8,0,19.83,64.96,15.21,FL,58.81,38.05,36.7,24.63,16.35,21.7,2.52,1.13,19.47,35.69,55.16
QS-33,12-40,4-05628,25.8,53,21.2,FL,,(1:1),5.4,0.36,10.9,,0.8,,12.5,2,0.72,0.2,0.03,3,23.6,,,,,6.7,47.5,0.75,0.1,0.25,3.3,13.8,0,30.75,52.01,17.24,FL,55.79,32.58,25.78,17.17,11.88,20.7,2.61,1.2,22.47,31.55,54.02
QS-33,40-85,4-05629,36.1,40.8,23.1,F,,(1:1),6,,,,0.4,,8.7,4.6,1.4,0.16,0.05,6.2,71.4,,,,,3.1,39.2,0.57,0.06,ND,1.5,14.8,0,39.54,42.25,18.21,F,50.9,26.56,21.07,15.05,9.99,16.57,2.6,1.36,22.81,24.89,47.69
QS-33,85-120,4-05630,42.4,44.2,13.4,F,,(1:1),6.4,,,,0.17,,6.9,4.4,1.6,0.1,0.09,6.2,89.7,,,,,1.7,48.6,0.34,0.04,0.05,1.9,16.8,0,53.79,37.67,8.54,FA,47.29,24.94,17.78,11.17,8.06,16.88,,,,,
QS-34,0-40,4-05631,38.5,41.5,20,F,,(1:1),5.7,,,,3.5,,28.2,6,3.5,0.94,0.07,10.5,37.3,,,,,9.1,121,0.48,0.1,0.32,7.5,39.3,0,18.44,45.4,36.16,FArL,62.72,49.64,38.05,36.55,29.81,19.83,2.61,1.02,12.7,48.22,60.92
QS-34,40-70,4-05632,37.2,34.8,28,FAr,,(1:1),6.4,,,,0.57,,20.5,6.3,4.4,0.11,0.07,10.9,53.1,,,,,2.9,58.4,0.21,0.04,0.11,4.2,10.8,0,37.79,34.95,27.26,FAr,65.73,34.31,31.5,27.77,23.86,10.45,2.47,1.08,26.9,29.37,56.28
QS-34,70-100,4-05633,41.4,30.6,28,FAr,,(1:1),6.5,,,,0.57,,17.6,6.4,4.4,0.12,0.12,11,62.7,,,,,0.49,33.2,0.14,0.04,0.01,3.2,12.6,0,42.35,31.63,26.02,F,65.82,26.63,24.41,22.66,20.02,6.61,,,,,
QS-34,100-120,4-05634,50,28.3,21.7,F,,(1:1),6.5,,,,0.85,,15.3,5.2,3.9,0.16,0.15,9.4,61.5,,,,,90.4,59,1.2,0.14,0.09,2.5,25.5,0,51.67,28.28,20.05,F,55.27,28.31,23.87,21.32,17.69,10.62,,,,,
QS-35,0-25,4-05635,12.7,55.2,32.1,FArL,,(1:1),5.6,0.11,0.88,,3.1,,25.5,6.3,5.3,0.65,0.08,12.3,48.4,,,,,52.4,21.9,0.8,0.04,0.3,8,42.1,0,2,64.95,33.05,FArL,87.47,49.68,42.09,36.57,28.31,21.37,2.6,0.97,27.08,35.61,62.69
QS-35,25-42,4-05636,6.1,55.5,38.4,FArL,,(1:1),6.1,,,,0.95,,23.1,9.8,7.3,0.62,0.11,17.8,77.2,,,,,22.4,11.5,1.1,0.04,0.09,2.9,23.3,0,5.79,58.13,36.08,FArL,91.53,42.92,37.68,31.15,24.73,18.18,2.62,1.08,31.22,27.56,58.78
QS-35,42-72,4-05637,0.7,63.3,36,FArL,,(1:1),6.3,,,,0.68,,17.7,7.5,5.1,0.27,0.1,13,73.3,,,,,17.4,12,1,0.02,0.09,3.7,29.1,0,1.95,70.47,27.58,FArL,80.77,40.43,35.48,25.11,18.99,21.45,2.62,1.15,28.02,28.09,56.11
QS-35,72-110,4-05638,4.6,53.1,42.3,ArL,,(1:1),6.4,,,,0.58,,21.1,6.7,5.9,0.21,0.11,12.9,61.2,,,,,2.1,28.2,3.8,0.7,ND,1.5,28.1,0,7.91,61.27,30.82,FArL,69.05,37.5,34.44,29.87,23.31,14.19,,,,,
QS-35,110-120,4-05639,7.4,64.9,27.7,FArL,,(1:1),6.6,,,,0.44,,14.3,5.4,4.5,0.11,0.12,10.1,70.8,,,,,72.7,117,1.7,1.6,0.01,2.3,2.6,0,12.09,69.82,18.09,FL,83.75,39.08,34.09,23.59,14.89,24.19,,,,,
QS-36,0-45,4-05624,61.5,33.5,5,FA*,,(1:1),5.4,0.52,10.3,,5.6,,29.7,3.5,0.57,0.32,0.14,4.5,15.3,89.6,,0.53,1.77,2.6,22.5,0.46,1,0.37,5,9.2,0,51.2,41.81,6.99,FA,122.98,51.14,48.63,39.98,31.23,19.91,2.25,0.74,39.2,27.91,67.11
QS-36,45-90,4-05625,74.3,22.8,2.9,AF,,(1:1),5.6,,,,0.93,,15.8,0.75,0.07,0.12,0.05,0.99,6.3,87.33,,0.9,1.61,0.62,25.2,0.06,0.04,0.01,8.2,3,0,74.78,23.35,1.87,AF,79.98,39.21,37.25,33.21,23.37,15.84,2.5,0.94,31.81,30.59,62.4
QS-36,90-120,4-05626,68.3,28.6,3.1,FA,,(1:1),5.7,,,,1.3,,36.3,1.6,0.27,0.23,0.07,2.2,6,,,,,0.62,29.6,0.09,0.04,ND,4.6,6.8,0,62.47,36.68,0.85,FA,145.19,66.96,64.4,55.66,50.24,16.72,2.23,0.68,37.45,32.06,69.51
QS-37,0-34,4-08904,,,,,,(1:2),5.1,3,64.8,,9.7,,28,0.49,0.14,0.75,0.25,1.6,5.8,77.48,1.556,0.71,1.5,0.2,31.6,0.48,0.24,0.54,5.9,0.37,0,52.94,41.4,5.66,FA,162.86,106.53,83.14,58.7,40.99,65.54,2.18,0.55,25.86,48.91,74.77
QS-37,34-60,4-08905,74.6,19.7,5.7,FA*,,(1:1),5.3,2.1,66,,7.7,,31.9,0.49,0.09,0.28,0.22,1.1,3.4,99.17,,0.71,1.71,,,,,,,ND,0,60.99,30.53,8.48,FA,170.21,99.43,83.03,59.23,41.59,57.84,2.37,0.6,31.06,43.63,74.68
QS-37,60-70,4-08906,88.2,6.3,5.5,A*,,(1:1),5.6,,,,5.4,,27.8,0.53,0.13,0.13,0.22,1,3.6,,,,,,,, ,,,ND,0,58.66,38.95,2.39,FA,134.35,83.14,64.04,51.83,37.81,45.33,2.5,0.72,27.14,44.06,71.2
QS-37,70-79,4-08907,86.2,7.1,6.7,AF,,(1:1),5.8,,,,2.8,,18,0.52,0.13,0.12,0.15,0.92,5.1,,,,,,,,,,,ND,0,84.97,12.59,2.44,AF,103.13,53.65,38.8,33.58,24.42,29.23,2.1,0.78,30.16,32.7,62.86
QS-38,0-25,4-08908,59.9,33,7.1,FA*,,(1:2),4.5,4,74.6,,8.5,,42.3,0.89,0.19,0.07,0.21,1.4,3.2,94.83,1.946,0.57,1.73,0.48,10.4,0.08,0.4,0.75,2.2,3.8,0,55.46,38.48,6.06,FA,119.49,68.37,55.74,46.98,32.32,36.05,2.39,0.71,30.07,40.22,70.29
QS-38,25-55,4-08909,68.2,26.8,5,FA*,,(1:1),5,1.9,67.1,,4.6,,28.9,0.5,0.05,0.23,0.15,0.93,3.2,93.09,,0.64,1.73,,,,,,,6.5,0,57.22,37.08,5.7,FA,138.19,77.32,58.94,51.31,49.09,28.23,2.43,0.83,29,36.84,65.84
QS-38,55-120,4-08910,70.3,24.7,5,FA*,,(1:1),5.1,2.3,77.4,,4.5,,33.4,0.37,0.07,0.06,0.17,0.67,2,95.21,,0.63,1.78,,,,,,,5.8,0,68.34,28.26,3.4,FA,138.59,73.18,54.95,51.37,36.76,36.42,2.12,0.82,28.94,32.38,61.32
QS-39,0-22,4-08911,57.7,35.2,7.1,FA*,,(1:1),5.2,2.2,41.7,,5.8,,33.5,2.6,0.21,0.08,0.19,3.1,9.2,,,,,0.48,12.8,0.08,1.2,0.15,ND,3.1,0,33.55,58.48,7.97,FL,103.37,53.25,44.06,29.84,27.35,25.9,2.13,0.75,31.41,33.38,64.79
QS-39,22-48,4-08912,61.7,31.1,7.2,FA*,,(1:1),5.3,1.2,32.8,,3.8,,26.4,2,0.09,0.13,0.24,2.5,9.3,,,,,,,,,,,0.37,0,47.56,47.77,4.67,FA,83.6,46.13,42.39,34.66,29.49,16.64,2.4,0.95,27.08,33.34,60.42
QS-39,48-80,4-08913,59.8,33.1,7.1,FA*,,(1:1),5.6,,,,2.3,,26,2.3,0.24,0.06,0.55,3.2,12.1,,,,,,,,,,,ND,0,55.08,41.68,3.24,FA,83.62,44.2,39.61,34.62,28.95,15.25,2.42,0.8,31.56,35.38,66.94
QS-39,80-120,4-08914,63.4,29.4,7.2,FA*,,(1:1),5.6,,,,3.4,,32.5,3,0.35,0.07,0.19,3.6,11.1,,,,,,,,,,,1.3,0,51.56,43,5.44,FA,98.51,51.99,49.07,39.15,32.91,19.08,2.41,0.83,30.96,34.6,65.56
